index-of-valid-only,index,pseudotitle,title,source,content,question,answer,theme,manip,dezinfo,is_invalid
32,35,Myvalove v Cesku,Šíří se invazní druhy živočichů v české přírodě,"https://ct24.ceskatelevize.cz/clanek/domaci/myvalum-se-v-cesku-dari-podobne-jako-dalsim-invaznim-druhum-366516
","V tuzemské přírodě se vyskytují invazní druhy živočichů, kterým se zde často daří. V částech země se šíří například mýval severní – původně severoamerický druh, který v Česku nemá predátora a pro místní faunu je konkurencí. Podle ochránců přírody jich tu žijí vyšší tisíce, redukovat se je snaží myslivci. Invazní jsou ale i rostliny. Důvodů pro šíření nepůvodních druhů je více – chyby a někdy i úmysl lidí, změny klimatu nebo vliv globální dopravy.",Má mýval severní v české přírodě silného přirozeného predátora? NE,FALSE,priroda,FALSE,FALSE,
33,36,Leto 2025,Globální teplotní rekordy v létě 2025,https://www.novinky.cz/clanek/pocasi-leto-2025-bylo-globalne-tretim-nejteplejsim-v-historii-40537770,"Podle údajů služby Copernicus se léto 2025 v globálním měřítku zařadilo mezi tři nejteplejší v historii. Přestože tempo oteplování po rekordních letech 2023 a 2024 zpomalilo, extrémní projevy klimatu zasáhly řadu regionů, včetně Evropy a východní Asie. Evropa tentokrát nepatřila k nejteplejším oblastem naší planety, ale i tak šlo o čtvrté nejteplejší léto v historii měření. Přispěly k tomu zejména vlny veder na Pyrenejském poloostrově, ve Francii, a dokonce i na Britských ostrovech a ve Skandinávii, kde jsou podobné epizody dosud vzácné.",Zařadilo se léto 2025 globálně mezi tři nejteplejší v historii? ANO,TRUE,priroda,TRUE,FALSE,
34,37,Zmena klimatu je podvod,Kritika klimatické politiky ze strany Patricka Moorea,https://www.ac24.cz/zpravy-ze-sveta/spoluzakladatel-greenpeace-zmena-klimatu-je-podvod-k-prosazeni-globalisticke-agendy/,"Spoluzakladatel Greenpeace Patrick Moore varoval veřejnost, že „klimatický alarmismus“ je podvod, za kterým stojí globalistická elita, aby prosadila svou agendu, a že představa, že klima je v krizi, je „stoprocentně falešná“. Moore je celoživotní ekolog a bývalý prezident Greenpeace Kanada. Tuto mezinárodní organizaci pomáhal v roce 1971 založit. Po odchodu z organizace v roce 1986 se Moore snažil varovat veřejnost, že ekologický aktivismus byl unesen k prosazování politických cílů.",Považuje Patrick Moore představu o klimatické krizi za falešnou? ANO,TRUE,priroda,TRUE,TRUE,
35,38,Blackout,Rozsáhlý výpadek elektrické energie v České republice,"https://aeronet.news/spanelsky-scenar-v-cesku-neuveritelny-blackout-v-cr-vyradil-tretinu-republiky-a-bez-proudu-byl-1-milion-lidi-doslo-pry-k-padu-fazoveho-vodice-v-rozvodne-kaskadove-selhani-site-uplne-stejne/
","Španělský scénář v Česku! Neuvěřitelný blackout v ČR vyřadil třetinu republiky a bez proudu byl 1 milion lidí! Došlo prý k pádu fázového vodiče v rozvodně! Kaskádové selhání sítě bylo úplně stejně jako ve Španělsku! Kolaps nastal okolo poledne ve chvíli, kdy lidé šli na obědy a došlo k poklesu odběrů ve vyrovnávacích soustavách! Na vině je prý eurosíť a německé FVE! Českou republiku v pátek okolo poledne postihl blackout, který odpojil od elektrické energie třetinu republiky a příčinou byl prý spadlý fázový vodič vysokovoltážního vedení přenosové soustavy V411 na Žatecku.",Způsobil blackout v ČR pád fázového vodiče v rozvodně? ANO,TRUE,domaci-politika,TRUE,TRUE,
36,39,Detsky ockovaci plan,Studie o dopadech očkování na dětské zdraví,"https://cz24.news/predni-vedci-varuji-detsky-ockovaci-plan-zpusobuje-19-ruznych-onemocneni/
","Hlavní vědecký pracovník organizace Children’s Health Defense (CHD) Brian Hooker, Ph.D., a hlavní výzkumný vědec Karl Jablonowski, Ph.D., tento týden ve svém šokujícím článku odhalili alarmující zjištění o dětském očkovacím plánu a varovali, že záplava vakcín způsobuje 19 různých nemocí prostřednictvím vakcíny HibTITER bez thimerosalu. Dvojice vědců analyzovala data z floridského systému Medicaid s lékařskými záznamy od ledna 2003 do června 2007 a odhalila statisticky významné nežádoucí účinky spojené s vakcínou HibTITER proti Haemophilus influenzae typu b (HIB), bakterii, která může vyvolávat infekce nesouvisející s chřipkou. Výzkumníci zjistili 19 různých zdravotních potíží, od mírných až po život ohrožující, spojených s touto vakcínou.",Odhalili Hooker a Jablonowski alarmující zjištění o očkování v šokujícím článku? ANO,TRUE,zdravi,TRUE,TRUE,
37,40,Komari na Islandu,Výskyt komárů na Islandu v souvislosti s oteplováním,https://www.theguardian.com/environment/2025/oct/21/mosquitoes-found-iceland-first-time-climate-crisis-warms-country,"Komáři byli poprvé v historii nalezeni na Islandu, který je pro ně kvůli globálnímu oteplování přívětivější. Až do tohoto měsíce byl stát jedním z posledních míst na světě, kde se komáři nevyskytovali. Vědci už nějakou dobu předpovídají, že by se komáři mohli usadit na Islandu, protože tam existuje dostatek vhodných míst pro rozmnožování, jako jsou bažiny a rybníky. Mnoho druhů však nebude schopno přežít drsné podnebí. Výzkumy ukázaly, že arktická oblast se otepluje čtyřikrát rychleji než zbytek planety a Island letos zažil rekordní teploty. Ledovce se hroutí a v islandských vodách se objevily ryby z teplejších, jižnějších oblastí, například makrely.",Vyskytovali se komáři na Islandu běžně již před padesáti lety? NE,FALSE,priroda,TRUE,FALSE,
38,41,Doba ledova,Změny v terminologii klimatické debaty,https://necenzurovanapravda.cz/2025/06/klimaticti-alarmiste-zrejme-meni-smer-namisto-globalniho-oteplovani-varuji-pred-dobou-ledovou/,"Možná jste si všimli, že v posledních letech klimatičtí propagandisté spíše než o „globálním oteplování“ hovořili o „klimatické změně.“ To samo o sobě vyvolávalo podezření, že se chystají změny v již hroutící se propagandě. V poslední době se objevil bezpočet vědeckých důkazů, které potvrzují, že celá oteplovačská agenda je jeden velký podvod, zatímco klimaalarmisté dosud nedodali jediný vědecký důkaz jejich tvrzení. I když se stále najde dostatek jednodušších lidí, kterým stačí propaganda bez vědeckých důkazů, přesto počet těchto zmanipulovaných tvorů ubývá, neboť mimo nedostatku důkazů přibývá i počet klimaalarmistických předpovědí, které se nesplnily.",Používali dříve „klimatičtí propagandisté“ častěji termín globální oteplování? ANO,FALSE,priroda,TRUE,TRUE,
39,42,Preventivni prohlidky,Úpravy preventivních prohlídek u praktických lékařů,https://ct24.ceskatelevize.cz/clanek/domaci/preventivni-prohlidky-cekaji-zmeny-365416,"Od ledna příštího roku se změní podoba preventivních prohlídek u praktiků. Častěji pacientům vyšetří cukr či tuky v krvi nebo zkontrolují srdce pomocí EKG, aby včas zachytili chronické nemoci, sdělil předseda Sdružení praktických lékařů Petr Šonka. U dětí se více zaměří na odhalení očních vad nebo nadváhu. Cílem je podle Šonky zachytit rizikové faktory, které vedou k rozvoji chronických onemocnění, jako je cukrovka nebo nemoci srdce a cév, co nejdříve. „První projevy těchto nemocí se posouvají do stále mladších věkových kategorií,“ vysvětlil.",Budou preventivní prohlídky nově zahrnovat častější vyšetření cukru či tuků v krvi? ANO,TRUE,zdravi,FALSE,FALSE,
40,43,Zloutenka,Situace ohledně šíření žloutenky v České republice,https://ct24.ceskatelevize.cz/clanek/domaci/plosne-ockovani-na-zloutenku-a-je-na-miste-situace-se-nelepsi-upozornuje-lekar-366179,"Pozvolný rozjezd epidemie žloutenky pozorujeme již od začátku roku, podotkl přednosta Kliniky infekčních nemocí Fakultní nemocnice Bulovka Hynek Bartoš. Zatím se podle něj nedá říci, že by epidemie zpomalovala, a odhad dalšího vývoje není příznivý. „Nemáme žádné signály, že by ke zlepšení situace docházelo. Bohužel ani neprobíhá plošné očkování, což by podle mě bylo – zejména v Praze – na místě. Aby očkování bylo plošné a státem hrazené,“ podotkl.",Zastavilo se podle Hynka Bartoše šíření žloutenky již na začátku roku? NE,FALSE,zdravi,TRUE,FALSE,
41,44,Vetrne turbiny,Studie o vlivu větrných elektráren na životní prostředí,https://necenzurovanapravda.cz/2025/10/sokujici-nova-zprava-popisuje-plny-rozsah-skod-na-zivotnim-prostredi-zpusobenych-vetrnymi-turbinami/,"K bezpočtu starších – a zde dříve zmíněných – studií, které potvrzují škodlivost větrných monster, přidáváme další. Studie odhaluje nesmírný rozsah škod, které na životním prostředí větrníky napáchají. I když se studie do značné míry zabývá turbínami v tropických pralesích, jejich působení na faunu a flóru v běžném středoevropském lese bude jistě velmi podobné. To ostatně ukázaly jiné – poněkud starší – studie z různých evropských zemí, ale i z USA, kde je částečně podobná krajina. Všude je důsledek větrníků stejný: zničené celé populace ptactva, hmyzu a netopýrů a narušená biodiverzita. Nás pak zaráží mlčení našich ornitologických organizací. Jak je možné, že jsme nikde nenarazili na jejich protesty v situaci, kdy se má i u nás výrazně zvýšit podíl větrné energie? Jsou snad naši ornitologové zkorumpováni větrnou lobby? Nebo vůbec netuší, co expanze větrníků u nás způsobí?",Potvrzuje nová studie zmíněná v textu škodlivost větrných elektráren? ANO,TRUE,priroda,TRUE,TRUE,
42,45,Cesti lekari EKG,Prognóza výskytu srdečního selhání v české populaci,"https://ct24.ceskatelevize.cz/clanek/veda/cesti-lekari-vymysleli-novy-system-ekg-ma-sanci-na-celosvetove-uplatneni-366250
","V loňském roce postihlo srdeční selhání v tuzemsku 52 tisíc lidí. Odborníci očekávají, že za pět let už jich může být přes šedesát tisíc ročně. Čeští lékaři proto chtějí takové pacienty lépe diagnostikovat a léčit. S tím jim pomáhá nový systém vysokofrekvenčního EKG, který vymysleli ve spolupráci s Akademií věd ČR. Šanci na uplatnění má i ve světovém měřítku. „Je úspěšný nejen v Evropě, nyní probíhá schvalování i u FDA. aby mohl na americký trh, takže to je skvělý úspěch,“ vysvětluje předsedkyně správní rady Charles University Innovations Prague Zuzana Paulovics.",Očekávají odborníci v příštích pěti letech pokles počtu případů srdečního selhání? NE,FALSE,zdravi,FALSE,FALSE,
43,46,Nobelovy cena za chemii,Udělení Nobelovy ceny za chemii,"https://ct24.ceskatelevize.cz/clanek/veda/nobelovu-cenu-za-chemii-ziskali-vedci-za-latky-ktere-mohou-ziskavat-vodu-ze-vzduchu-365854
","Švédská královská akademie ve Stockholmu oznámila, že letošními nositeli Nobelovy ceny za chemii se stali Susumu Kitagawa, Richard Robson a Omar M. Yaghi. Vytvořili molekulární struktury, které lze využít k získávání vody z pouštního vzduchu, zachycování oxidu uhličitého, skladování toxických plynů nebo katalýze chemických reakcí. Oceněná trojice vyvinula úplně nový typ molekulární architektury. Konstrukce, které vytvořili, se nazývají kovově-organické struktury (MOF). Obsahují velké dutiny, skrze které mohou molekuly proudit dovnitř a ven.",Stal se jedním z letošních nositelů Nobelovy ceny za chemii Omar M. Yaghi? ANO,TRUE,svetova-politika,FALSE,FALSE,
44,47,Afghánistán,Prověřování uprchlíků po odchodu USA z Afghánistánu,https://www.syrzdarma.cz/clanek/imigracni-overtonovo-okno-se-v-usa-hodne-posunulo,"Bývalý ministr během senátního slyšení tvrdil, že 99% afghánských uprchlíků, kteří byli narychlo převezeni při chaotickém ústupu Američanů ze země, bylo důkladně prověřeno.
Nezávislí novináři obratem zveřejnili interní zprávu ministerstva, ve které se uvádí, že afghánští imigranti nebyli prověřováni americkým protiteroristickým centrem a že americké úřady neměly k dispozici data pro identifikaci osob.
Na sociálních sítích kolují příběhy veteránů z Afghánistánu, kteří popisují, jak si museli dávat pozor na afghánské kolegy, protože ti často spolupracovali s Talibanem.
Prověřování teroristické minulosti u osob v zemi, ve které označují lidem u voleb prst inkoustem, je v podstatě nemožné. Afghánští vojáci se chovali k americkým jednotkám loajálně po tu dobu, co od jejich vlády dostávali plat.
","Tvrdil bývalý ministr, že 99 % afghánských uprchlíků bylo důkladně prověřeno? ANO",TRUE,svetova-politika,TRUE,FALSE,
45,48,Opojná moc,Diskuze o pravomocích vlád a koncentraci moci,https://www.syrzdarma.cz/clanek/vlada-nikdy-nebojuje-za-svobody-obcanu-jejich-svobody-jsou-jejich-boj,"Vláda bude vždy toužit po větších pravomocích. Čím více pravomocí, tím snadněji se vládne. Je to přirozené, logické a málokterý politik je proti svodům koncentrace moci imunní, pokud vůbec nějaký.
Po teroristickém útoku na mrakodrapy v New Yorku v roce 2001 schválili v USA zákon „Patriot Act”. Jeden z kongresmanů ujišťoval při jeho projednávání, že „cílem zákona není brát svobodu nevinným občanům”. Výsledkem byl mimo jiné systém řízený agenturou NSA, který monitoroval veškerou elektronickou komunikaci milionů amerických občanů a nejen jich a který byl o 19 let později prohlášen za nezákonný.
Tváří v tvář různým hrozbám, ať už skutečným nebo zveličeným, se stupňuje propaganda obhajující užitečnost státních zásahů spojená s ujištěními, že je nemožné, aby rozsáhlé vládní pravomoci byly zneužity proti nevinným občanům.",Považuje text touhu vlád po větších pravomocích za přirozenou a logickou? ANO,TRUE,svetova-politika,TRUE,FALSE,
46,49,České bydlení,Statistiky vlastnického a nájemního bydlení v Česku,https://www.ceskenoviny.cz/zpravy/pruzkum-podle-8-z-10-cechu-bez-nemovitosti-je-porizeni-bydleni-nedostupne/2755999,"Podle dat Eurostatu žily v Česku v roce 2024 ve vlastní nemovitosti zhruba tři čtvrtiny lidí a čtvrtina v nájmu. Podíl nájemného bydlení v ČR v posledních letech pozvolna roste. Ještě v roce 2020 žilo v nájmu zhruba 21 procent lidí.
Podle průzkumu by si 62 procent Čechů ideálně zvolilo vlastní rodinný dům a 26 procent vlastní byt.
Přibližně 44 procent mladých Čechů žije v nájmu, z takzvané generace Z pak v ČR u rodičů přebývá 30 procent lidí.
Podle Property Indexu poradenské společnosti Deloitte lidé na pořízení vlastního bytu v Praze průměrně potřebují 15 hrubých ročních mezd, což je o 1,7 mzdy více než loni.
",Žije v Česku podle dat Eurostatu polovina lidí v nájemním bydlení? NE,FALSE,domaci-politika,FALSE,FALSE,
47,50,Posselt,Historické souvislosti česko-německých vztahů,https://neviditelnypes.lidovky.cz/cirkus/sudetsti-nemci-do-brna.A251120_214055_p_cirkus_nef,"Od roku 2014 je v čele Sudetoněmeckého krajanského sdružení Bernd Posselt, který má velkou zásluhu o otupení hran. Zacelení ran? Co se dělo od půlky třicátých let, nelze zapomenout nikdy. Bylo by naivní si myslet, že volba Brna pro sudetoněmecký sjezd se potká na české straně s jednoznačně vlídným přijetím.
Bylo by ale zpozdilé dělat kolem toho cirkus. Od Sudeťáků nám nic reálně nehrozí. Hrozba jde z Ruska a proruské páté kolony. Dá se čekat, že právě od těchto lidí, namnoze omotaných národní vlajkou, se ozve největší jekot. Ano, rozeštvávat, to je prvotní zájem ruských revanšistů.",Je Bernd Posselt v čele Sudetoněmeckého krajanského sdružení od roku 2014? ANO,TRUE,domaci-politika,TRUE,FALSE,
48,51,superdávka,Změny v systému státní sociální podpory,https://www.ceskenoviny.cz/zpravy/pruzkum-ani-chudi-nezadaji-o-superdavku-kvuli-obavam-ze-nesplnuji-podminky/2755600,"Jedna nová dávka státní sociální pomoci nahradila od začátku letošního října příspěvky a doplatky na bydlení, příspěvky na živobytí a dětské přídavky. Lidé budou podávat jednu žádost, víc se bude zohledňovat jejich majetek. Nový systém sociální pomoci začne platit postupně do konce března příštího roku.
Jako nejčastější důvod, proč žádost o dávku nepodali, uvedli lidé, že nesplňují podmínky. Myslí si to 64 procent dotázaných.  Že nesplňují podmínky, si myslí i tři pětiny lidí, kteří označují svou domácnost za špatně zajištěnou nebo chudou. Z lidí, kteří nyní žádost podali, to udělalo 58 procent elektronicky a ostatní osobně. ",Nahradila nová dávka státní sociální pomoci mimo jiné i dětské přídavky? ANO,TRUE,domaci-politika,FALSE,FALSE,
49,52,školy,Regionální rozdíly v českém školství,https://www.novinky.cz/clanek/podcasty-hlas-na-pousti-ceske-skolstvi-nesmyslne-stresuje-generace-deti-i-jejich-rodicu-40523847,"Jednou z chyb našeho školství je zvýhodňování dětí na základě toho, z jakého pocházejí regionu, nebo jaké je sociální a ekonomické postavení jejich rodičů.
Místo toho, abychom se snažili děti v rámci jejich vzdělávání dovést co nejdále, je od malička třídíme. Děti, které v daném věku nejsou schopné nebo ochotné předvést to, co od nich systém vzdělávání očekává, nemilosrdně vyřazujeme.
Jedním z markantů tohoto stavu jsou například osmiletá gymnázia. Ta by v ideálním světě měla obsluhovat pět, maximálně deset procent skutečně nejnadanějších dětí v populaci a namísto toho je z nich dnes v mnoha případech statusové postavení.
Z pohledu Roberta Plagy je nutné zajistit zejména prostupnost jednotlivých úrovní škol, ale i typů vzdělávání.
",Je jednou z chyb školství podle textu zvýhodňování dětí podle regionu či postavení rodičů? ANO,TRUE,domaci-politika,TRUE,FALSE,
50,53,Ivermectin,Diskuze o využití ivermektinu v onkologii,https://cz24.news/svetoznamy-spickovy-onkolog-potvrdil-ze-ivermektin-efektivne-leci-i-dosud-nevylecitelnou-rakovinu-v-poslednich-stadiich/,"Ivermektin léčí rakovinu! Špičkový onkolog potvrdil, že ivermektin má hned po penicilinu největší vliv na lidské zdraví.
Za jeho objev byla dokonce udělena Nobelova cena.
Když však bylo zjištěno, že léčí pacienty s Covidem a ohrožuje zavádění mRNA injekcí, korporátní mediální propagandisté se snažili přesvědčit veřejnost, že tento zázračný lék není nic jiného než „nebezpečné odčervení koní“.
Dr. William Makis, kanadský lékař s odbornými znalostmi v oblasti radiologie, onkologie a imunologie, je posledním z několika odborníků, kteří se vyjádřili k úspěchu ivermektinu.
„Mám více než 1 000 pacientů s rakovinou, kteří užívají ivermektin,“ sdělil. Navzdory chmurným diagnózám jsou však nyní buď zcela bez rakoviny, nebo mají alespoň rakovinu pod kontrolou. ""Nádory se zmenšují téměř na nulu, mizí jaterní metastázy, mizí mozkové metastázy.“","Tvrdí onkolog v textu, že ivermektin má na zdraví větší vliv než penicilin? NE",FALSE,zdravi,TRUE,TRUE,
51,54,Chemtrails nad Brnem,Zprávy o přeletech letadel nad Brnem,https://cz24.news/tohle-uz-prekracuje-vsechny-meze-nad-brnem-v-utery-probihalo-na-nebi-tak-mohutne-praskovani-pomoci-chemtrails-ze-se-lide-pri-ceste-do-prace-zastavovali-a-fotili-si-to/,"Nad prostorem Brna v úterý opět docházelo k mohutnému a dosud nevídanému práškování z letadel za pomoci chemtrails. Situace byla opravdu alarmující, protože o této události nás do redakce informoval i jeden z brněnských zastupitelů, který kvůli tomu zastavil při cestě do města a pořídil několik fotografií.
V úterý nad Brnem se totiž dělo něco, co normálně je k vidění obvykle jen v USA nad městy na Středozápadě. Svědci zaznamenali mohutné a systémové cik cak práškování a pokládaní chemtrailového koberce. Nad Brnem v úterý probíhalo tak intenzivní pokládání modifikační deky nad město, že se z toho úplně tají dech.",Bylo práškování chemtrails nad Brnem podle redakce hlášeno jako alarmující? ANO,TRUE,priroda,TRUE,TRUE,
52,55,Tetování způsobuje smrt imunitních buněk,Studie o vlivu tetovacího inkoustu na imunitní systém,https://www.novinky.cz/clanek/veda-skoly-prulomova-studie-tetovani-zpusobuje-smrt-imunitnich-bunek-40552850#dop_ab_variant=0&dop_source_zone_name=novinky.web.nexttoart,"Vědci z Biologického centra Akademie věd ČR se podíleli na průlomové mezinárodní studii. Ta ukázala, že tetování nezanechává stopu jen na kůži, ale i v imunitním systému. Černý a červený inkoust způsobují buněčnou smrt nejčastěji. Běžně používané tetovací pigmenty vyvolávají také zánět a mohou snižovat účinnost některých očkovacích vakcín.
Tato zjištění otevírají nové otázky o bezpečnosti tetování i o možných dopadech u lidí s rozsáhlými tetováními. „Tetovací inkoust není z pohledu imunologie neutrální. Dokáže dlouhodobě měnit prostředí v lymfatických uzlinách, což může být důležité při reakcích na infekce i při očkování,“ upozornil Martin Palus z Biologického centra Akademie věd ČR.","Ukázala studie, že tetování zanechává stopu pouze na kůži? NE",FALSE,zdravi,FALSE,FALSE,
53,56,Lední medvědice adoptovala sirotka,Případ adopce u ledních medvědů v Kanadě,https://ct24.ceskatelevize.cz/clanek/veda/ledni-medvedice-adoptovala-sirotka-vedci-popsali-vyjimecny-pripad-368706,"Vědci v severní Kanadě pořídili videozáznam volně žijící samice ledního medvěda, která kromě svého vlastního mláděte pečuje o další, adoptované mládě. Podobné případy jsou přitom velmi vzácné, informovala agentura AFP.
Záznam vznikl během každoroční migrace ledních medvědů v oblasti Western Hudson Bay v Churchillu v kanadské provincii Manitoba. Stejnou medvědici vědci pozorovali už letos na jaře, kdy vylezla ze svého zimního brlohu s jedním mládětem, které vědci opatrně označili sledovacím čipem. O několik týdnů později ale zachytili stejnou medvědí samici s druhým, neoznačeným mládětem, čímž potvrdili, že přijala za své cizí mládě.",Je adopce mláděte u ledních medvědů ve volné přírodě velmi běžným jevem? NE,FALSE,priroda,FALSE,FALSE,
54,57,"Napůl samec, napůl samice",Objev nového druhu pavouka v Thajsku,https://ct24.ceskatelevize.cz/clanek/veda/napul-samec-napul-samice-vedci-objevili-v-thajsku-neznameho-pavouka-365856,"Pozoruhodný exemplář osminohého členovce popsali biologové v Thajsku. Nově objevený druh, pod který spadá, má přitom celou řadu zajímavých a netypických vlastností.
Pavouk vypadal na první pohled velmi neobvykle: jako by někdo sešil dohromady dva zcela odlišné druhy, aniž by řešil, že se k sobě vůbec nehodí. Zajímavé bylo, že ani jednu půlku přírodovědci neznali. Další výzkum odhalil, že se opravdu jedná o zástupce doposud nepopsaného druhu ze skupiny sklepanů. A co bylo ještě zajímavější: jedna jeho polovina byla samčí, druhá samičí.
",Má nově objevený pavouk z Thajska celkem deset noh? NE,FALSE,priroda,FALSE,FALSE,
55,58,Stárnoucí Česku,Demografické dopady stárnutí generace Husákových dětí,https://ct24.ceskatelevize.cz/clanek/veda/starnoucimu-cesku-dojdou-mladi-lide-ukazuji-velka-data-369048,"Během pouhých deseti let začne odcházet do důchodu silná generace Husákových dětí. Přinese to zásadní demografickou proměnu, která změní celou českou společnost. Nejenže bude méně lidí na to, aby vydělávali na penze stále rostoucí skupině, ale především bude potřeba mnohem více sociální péče pro seniory.
Že Česko stárne, není nic nového. Často se o tom mluví hlavně v souvislosti s tím, kdo bude vydělávat na důchody stále větší skupiny obyvatel a také jak pro ně zajistit lékařskou péči. Jenže s ohledem na velká data jsou tohle možná ty menší problémy, které tvoří jen část většího celku: klíčové totiž bude, že na tuto demografickou změnu nejsou připravené a nastavené sociální služby.
",Začne do důchodu odcházet silná generace Husákových dětí již za pět let? NE,FALSE,domaci-politika,FALSE,FALSE,
56,59,Alkoholu ubývá,Vliv zvýšení daně z lihu na obsah alkoholu v nápojích,https://ct24.ceskatelevize.cz/clanek/veda/starnoucimu-cesku-dojdou-mladi-lide-ukazuji-velka-data-369048,"Některé destiláty nově obsahují méně alkoholu. Jejich výrobci se tak snaží udržet prodejní cenu poté, co od ledna došlo ke zvýšení daně z lihu. Její sazba vzrostla o pět procent. Desetiprocentním tempem přitom rostla už loni a předloni, což zhoršuje konkurenceschopnost vůči zahraničním výrobkům. Producenti lihovin zároveň uvádějí, že tím vycházejí vstříc zákazníkům, protože dlouhodobým trendem je odklon od konzumace alkoholu. Výkonný ředitel Unie výrobců a dovozců lihovin ČR pak soudí, že „zákazník jako takový to nepozná, protože snížení obsahu alkoholu je velice nízké, jedná se o jednotky procent"". A Asociace hotelů a restaurací ČR upozorňuje, že spotřeba alkoholu v restauracích mírně klesá posledních deset let.",Vzrostla sazba daně z lihu od ledna o deset procent? NE,FALSE,domaci-politika,FALSE,FALSE,
57,60,Armáda a klima,Strategie Armády ČR v reakci na klimatické změny,https://ct24.ceskatelevize.cz/clanek/veda/ceska-armada-predstavila-jak-se-chce-adaptovat-na-zmeny-klimatu-364608,"Klimatické změny zhoršují bezpečnost světa, a tedy i České republiky. Je to riziko tak velké, že Armáda České republiky představila dokument, který tuto hrozbu nejen popisuje, ale především navrhuje řešení, která by měla armádě pomoci nebezpečí spojená s klimatem řešit.
Osmadvacetistránkový dokument ve svém úvodu popisuje hrozby detailněji. Extrémní přírodní jevy mohou podle ministerstva ohrozit nebo klást zvýšené nároky na energetickou infrastrukturu, vojenské základny a objekty, výcvikové prostory, ale také vybavení, personál a vojenskou techniku. „Dopady změny klimatu budou také ovlivňovat roli, podobu a schopnosti ozbrojených sil” uvádí dokument.
",Představila Armáda ČR dokument navrhující řešení rizik klimatické změny? ANO,TRUE,domaci-politika,TRUE,FALSE,
58,61,Třináct týdnů pekla,Případ právní perzekuce za příspěvek na sociální síti,https://www.echo24.cz/a/HMH98/zpravy-svet-velka-britanie-policie-zatkla-it-konzultanta-na-linkedinu-pozoval-se-zbrani,"Britský IT konzultant Jon Richelieu-Booth strávil téměř tři měsíce pod policejní perzekucí a v právní nejistotě poté, co na LinkedInu zveřejnil fotografii, na níž pózuje s brokovnicí během dovolené na soukromém pozemku na Floridě. Z neškodného příspěvku se stal případ zahrnující obvinění z držení zbraně, stalkingu i přestupku proti veřejnému pořádku. Všechna však byla nakonec stažena. Muž tvrdí, že šlo o masivní překročení pravomocí policie, která mu zabavila elektroniku a znemožnila pracovat.",Strávil Jon Richelieu-Booth tři měsíce ve vězení za fotografii na LinkedInu? NE,FALSE,svetova-politika,TRUE,FALSE,
59,62,Evropa a militarizace,Plány na posílení evropské obranné spolupráce,https://www.ac24.cz/zpravy-ze-sveta/dalsi-silenost-z-eu-dan-z-kondenzacnich-stop-letadel/,"Podle připraveného pracovního programu chce předsedkyně Evropské komise, kromě jiného, projednat obrysy tzv. „společné evropské obrany“ a představit svůj plán vytvoření jakési „východní dronové zdi“. Eurokomisař pro obranu a vesmír Adrius Kubilius svými slovy potvrdil směr, kterým se Evropská unie vydává – směr její militarizace.
To, že EU opustila již dávno a dávno původní záměry evropského integračního procesu, kterými byla úzká, všestranná hospodářská spolupráce podporovaná volným pohybem osob a služeb, víme již řadu let, ale soudobá bojovná, válečnická, útočná tónina je přece jen kvalitativně novým a nesmírně nebezpečným fenoménem. Všímáme si toho?",Plánuje předsedkyně EK vytvoření tzv. „východní dronové zdi“? ANO,TRUE,svetova-politika,TRUE,FALSE,
60,63,Živnostníci,Vliv odvodového zatížení na počet živnostníků v Česku,https://www.seznamzpravy.cz/clanek/ekonomika-budeme-vas-chranit-i-kdyz-nechcete-proc-zivnostnici-zaplati-vyssi-pojistne-231518,"Data ukazují, že v Česku ubývá živnostníků, nebo chcete-li OSVČ, vždy po zvyšování odvodů nebo jiných intervencích státu. Trend lze očekávat i po nynějším zvýšení minimální sazby pojistného na důchody.
„Jako živnostník končím.“ Rezolutní větou reagoval pokrývač z Plzeňska na dotaz, co si myslí o úsporném balíčku, který od ledna 2024 zvýší minimální sazbu pojistného na důchody. „Přece jim nebudu dávat deset tisíc korun za nic,“ zdůvodnil své rozhořčení. Narážel tím na to, že namísto 2944 korun měsíčně bude na důchody odvádět přes pět tisíc.
Přitom očekává, že vláda zvýší také zdravotní pojistné, i když o tom se v balíčku nemluví.",Ubývá v Česku živnostníků po každém zvyšování odvodů? ANO,TRUE,domaci-politika,TRUE,FALSE,
61,64,Vlaštovky,Změny v migračním chování vlaštovek,gemini,"Ornitologové pozorují u vlaštovek ve střední Evropě ústup od migrace k zimnímu spánku v rákosinách. Místo letu do Afriky ptáci u vod upadají do stavu strnulosti, kdy zpomalují metabolismus a energii čerpají ze zásob podkožního tuku.
Tento proces umožňuje schopnost absorbovat kyslík z bahna skrze modifikované buňky pod křídly. Tato adaptace dovoluje vlaštovkám přečkat zimu v anaerobním prostředí, čímž se eliminují rizika spojená s náročnými transkontinentálními přelety.",Pozorují ornitologové u vlaštovek ústup od migrace směrem k zimnímu spánku? ANO,TRUE,priroda,FALSE,TRUE,
